Entity,Sentiment
muthanna,3.69475
suwayda,3.64925
the crusader belgiumhttps://t,3.5677499999999998
one or 2 years,3.46475
ladh,3.46475
wapens,3.46475
3-2,3.46475
innobystander,3.46475
a must read 👀,3.46475
javed_kayani,3.44575
sujood,3.39475
the heavens …,3.39475
curtis scaparrotti,3.3935
the akp party of turkey,3.3765
musser,3.31725
shinjuku takashimaya,3.31725
92,3.2765000000000004
rt i_magpie,3.247
.may,3.20825
​​of,3.1645
al-faruq(the discerner,3.09225
dhivehistan,3.09225
adhleem thanksall,3.09225
8alezallellah51,3.09225
jazrawi_joulan akhi i,3.09225
mqm,3.09225
dhivehistan mahatmadeen3237 thanksall,3.09225
yaaahooo1984,3.09225
filipsweet: samykamkar,3.09225
arbaramzi18,3.09225
huxxaeen nasheedhunter,3.09225
todolin jazklakal,3.09225
achilles karim,3.09225
danjenaku,3.09225
fisabililah ya muclimisbah al khair,3.09225
dawlah shura council,3.0775
sheikh erdogan,3.0775
great umayyad mosque,3.06225
hasan9ali akhi i'm,3.06225
land cruiser,3.06225
8ballpool,3.0285
rt khorasan15_01:,2.9985
zabadani before;after.how assad,2.9985
working link,2.9985
the beautiful lataika region,2.9985
ecentauri pierternanninga watch,2.9985
"monday, april 25, 2016 ce al -tonin",2.996
rt adamhasakah17: dusty,2.9612499999999997
rt bridgetmoreng,2.92975
imagekremlin,2.92975
londonelects,2.92975
wassim nasr's,2.92975
new mosque,2.92975
m9klakish,2.92975
kashmirsolidarityday,2.92975
kuffar coalition...,2.92975
hotncold,2.8935
hahaha 🐖🐖😅😅,2.8935
impressive,2.8905000000000003
istighfar,2.88875
belgiumupdateislamicstate online propagandist,2.81675
yazidi kaffir,2.81675
muhammad bin salman,2.81675
imam anwar al awlaki -,2.8049999999999997
campofmansancampofkuf,2.7765000000000004
halabحلب,2.7765000000000004
an off day,2.7653749999999997
otherscan,2.7605
onhow,2.7605
īmān,2.741
longest range of ballistic missile,2.73475
sharjeel khan,2.73175
intl t20s,2.73175
sr 140,2.73175
34 avg,2.73175
9 p.m.,2.727
moshe yaalon,2.727
arartz,2.727
negotiationscalls,2.68125
arab lawhis,2.68125
iqsunni congratulations,2.64725
uqly,2.6470000000000002
the narendra modi,2.6470000000000002
saudi civilianaward,2.6470000000000002
glad tidings,2.6470000000000002
ellyse perry,2.641638888888889
lmgaveriaux super tata bouzar,2.63
just over 100 days,2.616
allah.cause,2.616
canaanitelord,2.601
birabbek,2.601
futuhat ash-sham,2.601
mìrāthul anbiyā',2.601
jazakkla,2.601
julien rochedy,2.59225
mobile?techchef,2.59225
front national de la jeunesse,2.59225
rt imtiyazazhar: support,2.5862499999999997
all nations,2.56225
forze,2.55975
majlis sahwat derna,2.55475
iraqi army headquarter,2.5543333333333336
lol shaun tait,2.55375
khawarijcrucifi,2.55375
see you back akhi,2.55375
drug smugglers,2.55375
bringbackvso,2.55375
ninjatlemceniii,2.55375
abunighty4 marwan,2.55375
malle111elf salam o,2.55375
a couple of days ago,2.5529166666666665
t20s44,2.5460000000000003
mhd shahzad,2.5460000000000003
"kindness""- quran",2.531
jannah?seeing allah,2.5275000000000003
new dayit's,2.5217777777777775
kfarttit,2.5208333333333335
paradise horia,2.51975
goyim,2.5147500000000003
govt,2.4985
non-wilayat,2.4985
not.islam,2.4985
awardplease,2.47425
crayonjihad,2.4652777777777777
ahlu,2.46475
kremlin lattakkia,2.46475
rt abedadocrat,2.464625
chorba,2.4545
kardashians,2.45075
sdf/ypg/pkk,2.44575
azzotens,2.43025
aasiyehandrabi,2.42975
ibni qasim aafiya,2.42975
taifatul monsoora,2.42975
quantum fulaani - fidaeefulaani,2.42975
creds,2.42975
rt abu_yusef90,2.409125
goodwill,2.4075
zarqawi_reqqa24 goodwinters,2.4075
